dataset_id,feature_key,scope,fold,model_id,random_policy,random_structure,group,term,paired_term,variance,stddev_or_correlation,variance_below_1e_8,singular,convergence
X21,cnn_2::overall,cv_train,0.0,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.73408479891909,1.65350681852815,False,False,ok
X21,cnn_2::overall,cv_train,0.0,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.804121539350319,0.89672824163752,False,False,ok
X21,cnn_2::overall,cv_train,0.0,M_joint,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.73319441646381,1.65323755596823,False,False,ok
X21,cnn_2::overall,cv_train,0.0,M_joint,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.803093268117275,0.896154712154813,False,False,ok
X21,cnn_2::overall,cv_train,0.0,M_null,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.73436121305275,1.65359040062911,False,False,ok
X21,cnn_2::overall,cv_train,0.0,M_null,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.939518882120521,0.969287822125359,False,False,ok
X21,cnn_2::overall,cv_train,0.0,M_predictor,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.73116700340607,1.6526242777492,False,False,ok
X21,cnn_2::overall,cv_train,0.0,M_predictor,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.91497622366683,0.956543895316274,False,False,ok
X21,cnn_2::overall,cv_train,1.0,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.82542591755482,1.68090032945289,False,False,ok
X21,cnn_2::overall,cv_train,1.0,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.810506880671877,0.900281556332171,False,False,ok
X21,cnn_2::overall,cv_train,1.0,M_joint,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.82255117946903,1.68004499328709,False,False,ok
X21,cnn_2::overall,cv_train,1.0,M_joint,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.804183480858712,0.896762778475285,False,False,ok
X21,cnn_2::overall,cv_train,1.0,M_null,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.82825926822425,1.68174292572445,False,False,ok
X21,cnn_2::overall,cv_train,1.0,M_null,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.957744200233825,0.978644062074575,False,False,ok
X21,cnn_2::overall,cv_train,1.0,M_predictor,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.82298383004223,1.6801737499563,False,False,ok
X21,cnn_2::overall,cv_train,1.0,M_predictor,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.915587282490034,0.956863251718883,False,False,ok
X21,cnn_2::overall,cv_train,2.0,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,3.07986097963736,1.75495326992982,False,False,ok
X21,cnn_2::overall,cv_train,2.0,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.915727182680008,0.956936352470742,False,False,ok
X21,cnn_2::overall,cv_train,2.0,M_joint,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,3.07732264690586,1.75422992988544,False,False,ok
X21,cnn_2::overall,cv_train,2.0,M_joint,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.894154789488067,0.945597583271059,False,False,ok
X21,cnn_2::overall,cv_train,2.0,M_null,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,3.08553935762407,1.75657033950368,False,False,ok
X21,cnn_2::overall,cv_train,2.0,M_null,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,1.02791717074083,1.01386250090475,False,False,ok
X21,cnn_2::overall,cv_train,2.0,M_predictor,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,3.08055583360637,1.75515122813003,False,False,ok
X21,cnn_2::overall,cv_train,2.0,M_predictor,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.959221204686119,0.979398389158426,False,False,ok
X21,cnn_2::overall,full,,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.76404214700304,1.66254087077673,False,False,ok
X21,cnn_2::overall,full,,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.860229331109943,0.927485488355447,False,False,ok
X21,cnn_2::overall,full,,M_joint,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.76191990786519,1.66190249649767,False,False,ok
X21,cnn_2::overall,full,,M_joint,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.853631187623086,0.923921635001089,False,False,ok
X21,cnn_2::overall,full,,M_null,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.76675659318903,1.66335702517199,False,False,ok
X21,cnn_2::overall,full,,M_null,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.989441364460866,0.994706672572807,False,False,ok
X21,cnn_2::overall,full,,M_predictor,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.76219643999461,1.66198569187421,False,False,ok
X21,cnn_2::overall,full,,M_predictor,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.947858631804112,0.973580316052102,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,0.0,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.73408479891909,1.65350681852815,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,0.0,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.804121539350319,0.89672824163752,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,0.0,M_joint,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.73472845982015,1.65370144216547,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,0.0,M_joint,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.803485644113386,0.8963736074391,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,0.0,M_null,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.73436121305275,1.65359040062911,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,0.0,M_null,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.939518882120521,0.969287822125359,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,0.0,M_predictor,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.73162699146226,1.65276344086571,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,0.0,M_predictor,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.923893731576045,0.961193909456383,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,1.0,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.82542591755482,1.68090032945289,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,1.0,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.810506880671877,0.900281556332171,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,1.0,M_joint,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.82458164631695,1.6806491740744,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,1.0,M_joint,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.806433885093751,0.898016639653047,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,1.0,M_null,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.82825926822425,1.68174292572445,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,1.0,M_null,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.957744200233825,0.978644062074575,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,1.0,M_predictor,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.82658480829168,1.68124501732843,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,1.0,M_predictor,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.925816262515221,0.962193464182345,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,2.0,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,3.07986097963736,1.75495326992982,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,2.0,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.915727182680008,0.956936352470742,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,2.0,M_joint,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,3.07901600391808,1.75471251318217,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,2.0,M_joint,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.913762460569715,0.955909232390667,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,2.0,M_null,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,3.08553935762407,1.75657033950368,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,2.0,M_null,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,1.02791717074083,1.01386250090475,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,2.0,M_predictor,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,3.08280067391426,1.75579061220701,False,False,ok
X21,cnn_2::overall_order_sensitive,cv_train,2.0,M_predictor,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,1.00584378248463,1.00291763494548,False,False,ok
X21,cnn_2::overall_order_sensitive,full,,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.76404214700304,1.66254087077673,False,False,ok
X21,cnn_2::overall_order_sensitive,full,,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.860229331109943,0.927485488355447,False,False,ok
X21,cnn_2::overall_order_sensitive,full,,M_joint,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.76334817599074,1.66233214971941,False,False,ok
X21,cnn_2::overall_order_sensitive,full,,M_joint,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.859665633663668,0.927181553776642,False,False,ok
X21,cnn_2::overall_order_sensitive,full,,M_null,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.76675659318903,1.66335702517199,False,False,ok
X21,cnn_2::overall_order_sensitive,full,,M_null,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.989441364460866,0.994706672572807,False,False,ok
X21,cnn_2::overall_order_sensitive,full,,M_predictor,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.76411431522087,1.66256257482865,False,False,ok
X21,cnn_2::overall_order_sensitive,full,,M_predictor,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.967379962814685,0.983554758422064,False,False,ok
X21,cnn_3::overall,cv_train,0.0,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.73408479891909,1.65350681852815,False,False,ok
X21,cnn_3::overall,cv_train,0.0,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.804121539350319,0.89672824163752,False,False,ok
X21,cnn_3::overall,cv_train,0.0,M_joint,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.73282856539787,1.65312690541225,False,False,ok
X21,cnn_3::overall,cv_train,0.0,M_joint,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.803655102317024,0.896468126771401,False,False,ok
X21,cnn_3::overall,cv_train,0.0,M_null,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.73436121305275,1.65359040062911,False,False,ok
X21,cnn_3::overall,cv_train,0.0,M_null,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.939518882120521,0.969287822125359,False,False,ok
X21,cnn_3::overall,cv_train,0.0,M_predictor,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.73291136315599,1.65315194799389,False,False,ok
X21,cnn_3::overall,cv_train,0.0,M_predictor,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.938153825339543,0.968583411658254,False,False,ok
X21,cnn_3::overall,cv_train,1.0,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,2.82542591755482,1.68090032945289,False,False,ok
X21,cnn_3::overall,cv_train,1.0,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.810506880671877,0.900281556332171,False,False,ok
