dataset_id,feature_key,scope,fold,model_id,random_policy,random_structure,group,term,paired_term,variance,stddev_or_correlation,variance_below_1e_8,singular,convergence
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.331324436982564,0.575607884746695,False,False,ok
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,1.32559654339018,1.15134553605344,False,False,ok
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_joint,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.329765355811119,0.574251996784616,False,False,ok
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_joint,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,1.32560405580751,1.15134879850005,False,False,ok
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_null,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.448558887068933,0.669745389733243,False,False,ok
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_null,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,1.32680622984099,1.15187075222917,False,False,ok
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_predictor,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.446131685312859,0.66793089860618,False,False,ok
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_predictor,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,1.32675974113327,1.15185057239786,False,False,ok
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.618683129111355,0.786564129052015,False,False,ok
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_condition,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,1.29937096444087,1.13989954138111,False,False,ok
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_joint,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.611621870869937,0.782062574778986,False,False,ok
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_joint,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,1.29928138267704,1.13986024699392,False,False,ok
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_null,registered,participant_item_intercepts_with_fixed_talker_block,participant_id,(Intercept),,0.646033359416305,0.803762004212879,False,False,ok
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_null,registered,participant_item_intercepts_with_fixed_talker_block,analysis_item_id,(Intercept),,1.29946366335915,1.13994020165935,False,False,ok
